#,Category,Name of Card,Value,Full set number,Rent Value,Function,Constraint and Notices,
1,Action,Deal Breaker,$5M,,,Steal a complete property set from any player (have to be a full set).,Takes attached a complete set (have to be a full set).,Discarded to center pile after use.
2,Action,Deal Breaker,$5M,,,Steal a complete property set from any player (have to be a full set).,Takes attached a complete set (have to be a full set).,Discarded to center pile after use.
3,Action,Just Say No,$4M,,,Cancel any Action card played against you.,Does NOT count as a card turn. Can be played against another Just Say No.,Discarded to center pile after use.
4,Action,Just Say No,$4M,,,Cancel any Action card played against you.,Does NOT count as a card turn. Can be played against another Just Say No.,Discarded to center pile after use.
5,Action,Just Say No,$4M,,,Cancel any Action card played against you.,Does NOT count as a card turn. Can be played against another Just Say No.,Discarded to center pile after use.
6,Action,Sly Deal,$3M,,,Steal a single property from any player (cannot be part of a full set).,Cannot steal a property that is part of a completed set.,Discarded to center pile after use.
7,Action,Sly Deal,$3M,,,Steal a single property from any player (cannot be part of a full set).,Cannot steal a property that is part of a completed set.,Discarded to center pile after use.
8,Action,Sly Deal,$3M,,,Steal a single property from any player (cannot be part of a full set).,Cannot steal a property that is part of a completed set.,Discarded to center pile after use.
9,Action,Force Deal,$3M,,,Swap a single property with another player (neither can be from a full set).,Neither property swapped can be part of a completed set.,Discarded to center pile after use.
10,Action,Force Deal,$3M,,,Swap a single property with another player (neither can be from a full set).,Neither property swapped can be part of a completed set.,Discarded to center pile after use.
11,Action,Force Deal,$3M,,,Swap a single property with another player (neither can be from a full set).,Neither property swapped can be part of a completed set.,Discarded to center pile after use.
12,Action,Debt Collector,$3M,,,Force one specific player to pay you $5M.,Opponent cannot pay with a 10-Color Wildcard (it has no monetary value).,Discarded to center pile after use.
13,Action,Debt Collector,$3M,,,Force one specific player to pay you $5M.,Opponent cannot pay with a 10-Color Wildcard (it has no monetary value).,Discarded to center pile after use.
14,Action,Debt Collector,$3M,,,Force one specific player to pay you $5M.,Opponent cannot pay with a 10-Color Wildcard (it has no monetary value).,Discarded to center pile after use.
15,Action,It's My Birthday,$2M,,,Force all players to pay you $2M.,Opponents cannot pay with a 10-Color Wildcard (it has no monetary value).,Discarded to center pile after use.
16,Action,It's My Birthday,$2M,,,Force all players to pay you $2M.,Opponents cannot pay with a 10-Color Wildcard (it has no monetary value).,Discarded to center pile after use.
17,Action,It's My Birthday,$2M,,,Force all players to pay you $2M.,Opponents cannot pay with a 10-Color Wildcard (it has no monetary value).,Discarded to center pile after use.
18,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
19,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
20,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
21,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
22,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
23,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
24,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
25,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
26,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
27,Action,Pass Go,$1M,,,Draw 2 extra cards from the deck.,,Discarded to center pile after use.
28,Action,House,$3M,,,Add $3M to the rent value of a full property set.,Must be laid on a completed set. Cannot be added to Railroad or Utility sets. Cannot put on the full property set that already have a house.,Discarded to center pile after use.
29,Action,House,$3M,,,Add $3M to the rent value of a full property set.,Must be laid on a completed set. Cannot be added to Railroad or Utility sets. Cannot put on the full property set that already have a house.,Discarded to center pile after use.
30,Action,House,$3M,,,Add $3M to the rent value of a full property set.,Must be laid on a completed set. Cannot be added to Railroad or Utility sets. Cannot put on the full property set that already have a house.,Discarded to center pile after use.
31,Action,Hotel,$4M,,,Add $4M to the rent value of a full set (must already have a House).,Must be laid on a completed set that already has a House. No Railroads/Utilities. Cannot put on the full property set that already have a hotel.,Discarded to center pile after use.
32,Action,Hotel,$4M,,,Add $4M to the rent value of a full set (must already have a House).,Must be laid on a completed set that already has a House. No Railroads/Utilities. Cannot put on the full property set that already have a hotel.,Discarded to center pile after use.
33,Action,Double The Rent,$1M,,,Play with a Rent card to double the total rent owed.,Counts as a card play. Negated by a Just Say No. You can play 2 in one turn.,Discarded to center pile after use.
34,Action,Double The Rent,$1M,,,Play with a Rent card to double the total rent owed.,Counts as a card play. Negated by a Just Say No. You can play 2 in one turn.,Discarded to center pile after use.
35,Property,Brown,$1M,2,"1,2",Collect 2 to complete the Brown set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
36,Property,Brown,$1M,,,Collect 2 to complete the Brown set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
37,Property,Light Blue,$1M,3,"1,2,3",Collect 3 to complete the Light Blue set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
38,Property,Light Blue,$1M,,,Collect 3 to complete the Light Blue set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
39,Property,Light Blue,$1M,,,Collect 3 to complete the Light Blue set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
40,Property,Purple,$2M,3,"1,2,4",Collect 3 to complete the Purple set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
41,Property,Purple,$2M,,,Collect 3 to complete the Purple set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
42,Property,Purple,$2M,,,Collect 3 to complete the Purple set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
